the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,latitude,longitude,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
0101000020E610000063FF1D8E257752C0BEEE2C524B5A4440,0101000020110F0000247986CB885D5FC1BF512A1587F45241,P.S./I.S. 113 ANTHONY J. PRANZO,78-23,87 STREET,78-23 87 STREET,RIDGEWOOD,11385,K-8 SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,662,seats,QUEENS,4094055,4038460040,40.7054318743,-73.8616685863,1022603.50779,196314.616436,405,QN19,QN0503,30,063700,063700,4,24,104,doe_lcgms,22c0b352a1d27794c3527e7154a6e79a
0101000020E6100000470F2753F37A52C04DCE25CCB4694440,0101000020110F00001C3C3ED7FE635FC13B003C5ECF055341,GED - P2G - BRONX NEON - AHSEP,198,EAST 161 STREET,198 EAST 161 STREET,BRONX,10451,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,,BRONX,2099027,2024430094,40.8258382817,-73.9211027963,1006085.38542,240162.207501,204,BX14,BX0401,16,006100,006100,2,07,44,nysed_activeinstitutions,06385adfdd92c3a3aa5bb7523db9c437
0101000020E6100000BA3B354A287D52C00446A0C877664440,0101000020110F00005208A57DBE675FC1DCAF26152D025341,HARLEM LINK CHARTER SCHOOL-ANNEX,211,WEST 111 STREET,211 WEST 111 STREET,NEW YORK,10026,CHARTER SCHOOL,CHARTER K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,,MANHATTAN,1055081,1018270024,40.800538784,-73.9555855366,996546.706382,230937.980263,110,MN11,MN1001,9,021600,021600,1,03,28,nysed_activeinstitutions,1e404ddf80a4a03afbae20759e0de54a
0101000020E6100000AF9261CB127F52C0D1776F790D5B4440,0101000020110F00007D6C85A9FF6A5FC1DA5B469C60F55241,P.S. 184M SHUANG WEN,327,CHERRY STREET,327 CHERRY STREET,NEW YORK,10002,K-8 SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,749,seats,MANHATTAN,1003143,1002450007,40.7113569615,-73.9855235637,988263.354412,198443.352443,103,MN28,MN0301,1,000201,000201,1,01,7,doe_lcgms,25532953fbb2381eb408270a8bc51a83
0101000020E610000047B3B7EA3F7B52C05C29BBC374674440,0101000020110F0000E153AAF080645FC129240BEE48035341,P.S. 154 JONATHAN D. HYATT,333,EAST 135 STREET,333 EAST 135 STREET,BRONX,10454,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,354,seats,BRONX,2097030,2022980001,40.8082591504,-73.9257776049,1004797.02464,233756.369181,201,BX39,BX0101,8,002300,002300,2,07,40,doe_lcgms,58bf098678fe0a8fd11bca4a0ab3f503
0101000020E6100000BB282BF49E7752C078AF1D9EB4584440,0101000020110F00003013B900575E5FC1F25B797ABFF25241,MULTICULTURAL HIGH SCHOOL,999,JAMAICA AVENUE,999 JAMAICA AVENUE,BROOKLYN,11208,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,434,seats,BROOKLYN,3090738,3040940001,40.69302027,-73.8690781724,1020555.89984,191789.548063,305,BK99,BK0571,37,118000,118000,3,19,75,doe_lcgms,2bb51a9eb5cc675ea8ac1cbae6f29687
0101000020E61000001D347C41C47F52C0A7E285E2715F4440,0101000020110F000050DB1F192D6C5FC1535071C54CFA5241,THE HIGH SCHOOL OF FASHION INDUSTRIES,225,WEST 24 STREET,225 WEST 24 STREET,NEW YORK,10011,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,2147,seats,MANHATTAN,1014174,1007740019,40.7456712529,-73.996354951,985260.00982,210944.806126,104,MN13,MN0401,3,009100,009100,1,02,10,doe_lcgms,589178863bf9997cb6a586e6036305ef
0101000020E6100000CDAA9EB7C77B52C037E631C3754C4440,0101000020110F0000DE9F599C67655FC1BE34738A0AE55241,P.S. 194 RAOUL WALLENBERG,3117,AVENUE W,3117 AVENUE W,BROOKLYN,11229,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,470,seats,BROOKLYN,3201629,3073930001,40.5973520622,-73.9340661931,1002560.32763,156914.75986,315,BK17,BK1503,46,057000,057000,3,22,61,doe_lcgms,5b6caec80be0e1ee9c2012abcab8df85
0101000020E610000089F98FE2417F52C0DCC98573F3574440,0101000020110F00006DAB75A64F6B5FC1C3ADAF1DE7F15241,P.S. 261 ZIPPORIAH MILLS,314,PACIFIC STREET,314 PACIFIC STREET,BROOKLYN,11201,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,652,seats,BROOKLYN,3001070,3001880014,40.6871252948,-73.9883977429,987467.704713,189614.917885,302,BK38,BK0202,33,004300,004300,3,15,84,doe_lcgms,5d480217552b55b33257f4780fb8af73
0101000020E6100000A347A3416D7752C0A8A8E7C6496B4440,0101000020110F000055633996025E5FC14745DBF295075341,BRONX LITTLE SCHOOL,1827,ARCHER STREET,1827 ARCHER STREET,BRONX,10460,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,252,seats,BRONX,2028640,2039210030,40.83819728,-73.866044892,1021316.17296,244683.55406,209,BX08,BX0901,18,021601,021601,2,12,43,doe_lcgms,5e635d5c2fdafd1085867e3434bd64f5
0101000020E6100000D6710832CF7152C0DD6A7091F15E4440,0101000020110F00006FFF43E577545FC1E94F12EEBCF95241,P.S. Q004,196-25,PECK AVENUE,196-25 PECK AVENUE,FRESH MEADOWS,11365,"K-8 SCHOOL - PUBLIC, SPECIAL EDUCATION",PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,212,seats,QUEENS,4153407,4071280010,40.7417553444,-73.7782725828,1045692.18944,209595.856483,408,QN41,QN0803,23,134700,134702,4,26,107,doe_lcgms,6a428a13c73663087486e2b4a9c8a0d3
0101000020E610000001913BF5617D52C0F594B630544F4440,0101000020110F0000CEB4207220685FC1D0C62F2840E85241,GED-P2G-EDWARD MURROW HS - ASHEP,1600,AVENUE L,1600 AVENUE L,BROOKLYN,11230,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,,BROOKLYN,3180673,3067340109,40.6197650231,-73.9591053057,995602.96113,165076.141728,314,BK43,BK1403,44,076800,076800,3,21,70,nysed_activeinstitutions,732e4745ff8a46c0cc621d780a842fd3
